"group","description"
"farmer","intelligent"
"computer programmer","arrogant"
"flight attendant","nerdy"
"high school coach","kind"
"dentist","loud"
"lawyer","careful"
"engineer","argumentative"
"real estate agent","persuasive"
"accountant","immature"
"surgeon","active"
"architect","funny"
"librarian","disorganized"
"lab technician","dishonest"
"artist","gentle"
"consultant","sensitive"
"scientist","creative"
"nanny","helpful"
"boxer","strong"
"paramedic","brave"
"businessman","bossy"
"secretary","unconventional"
"executive manager","quiet"
"assistant","organized"
"nurse","reliable"
"writer","ambitious"
"telemarketer","charming"
"clown","confident"
"fireman","efficient"
"pianist","friendly"
"doctor","generous"
"hippy","naive"
"construction worker","witty"
"gardener","empathetic"
"aerobics instructor","stubborn"
"sixteen year old","trustworthy"
"politician","meticulous"
"kindergarten teacher","inventive"
"drummer","charismatic"
"chef","reserved"
"bartender","altruistic"
"pilot","original"
"social worker","impulsive"
"veterinarian","zealous"
"journalist","rational"
"police officer","idealistic"
"electrician","conservative"
"fitness trainer","solitary"
"psychologist","passionate"
"actor","adventurous"
"historian","cautious"
"DJ","extravagant"
"diplomat","jovial"
"environmental activist","cooperative"
"music producer","attractive"
"fashion designer","muscular"
"photographer","shy"
"soldier","social"
"fashion model","warm"
"","moody"
"","lazy"
"","hardworking"
"","imaginative"
"","narrow-minded"
"","boring"
"","selfish"
"","narcissistic"
